Id,Name,Description
1,"All sciences",
2,"also social sciences and humanisties",
3,"Digital humanities","all the domains of the Humanities, from literature to heritage science, including history, social sciences, linguistics, etc."
4,"Life sciences",
5,"BETA version",
6,"Social Sciences",
7,"Oral History",
8,"Linguistics and digital humanities",
9,"The Journal of Open Source Education",
10,"pilot project",
11,"Creative fields",
12,Linguistics,
13,"Holocaust studies",
14,"Social sciences - SEE SERISS",
15,multidisciplinary,
16,"Library sciences",
17,"All disciplines",
18,Humanities,
19,"corpus linguistics",
20,"computational inguistics",
21,Didactics,
