Name provider,Website,Discipline,Description,"Do they have materials for trainers and/or data stewards?
 [Yes/No]",Give examples,"Trainer/Steward Topics
","Trainer/Steward Topics
","Trainer/Steward Topics
","Responsible partner
[next step - Drupal)",Link to training-inventory,Topics,Topics,Topics,Topics,Topics,Topics,Topics,Topics,Topics,Topics,Topics,Topics
Carpentry Data Carpentry,https://datacarpentry.org/lessons/#social-science-curriculum ,Social Sciences,Building communities teaching universal data literacy (later also Digital humanities),"Yes, for all carpentries (level higher)","https://carpentries.github.io/instructor-training/
lessons: https://datacarpentry.org/lessons/",instructor training,lessons,,UCL,https://training-inventory.acdh-dev.oeaw.ac.at/source/52 ,Ecology curriculum,Genomics curriculum,Social Sciences curriculum,Geospatial data curriculum,,,,,,,,
"Carpentry Library Carpentry
",https://librarycarpentry.org/ ,all sciences,Software and data skills for people working in library- and information-related roles,Yes,lessons: https://librarycarpentry.org/lessons/,lessons,,,UCL,,Introduction to Data,The UNIX Shell,OpenRefine,Introduction to Git,Tidy Data,SQL,Webscraping,Introduction to Python,Introduction to data for archivists,Pilot : Top 10 FAIR Data & Software things https://librarycarpentry.org/Top-10-FAIR/,,
Carpentry Software Carpentry,https://software-carpentry.org/,all sciences,Teaching basic lab skills for research computing,Yes,collaboratively created lessons: https://github.com/swcarpentry,lessons,,,UCL,,The Unix Shell,`version control with grid,Programming with python,Programming with Python,Programming with R,R for Reproducible Scientific Analysis,,,,,,
CESSDA Training,https://www.cessda.eu/Training,Social Sciences,"Discovering and using data, managing research data, preserving data  and using CESSDA's tools and services.
",Yes,Data Management Expert Guide - Train the Trainer package,didactics,workshop outlines,Examples + exercises,UKDA,,Data Management Expert Guide: to help social science researchers make their research data FAIR.,Discovering and using data, Managing research data,Preserving data and using CESSDA's tools and services.,,,,,,,,
CLARIN,https://www.clarin.eu/content/knowledge-sharing,Digital Humanities; Oral History,The main goal of this website is to give an overview of technology that can be used in the processing of Oral History data in general: https://oralhistory.eu/,Yes,"Slides and content of videolectures (a CLARIN knowledge sharing initiative) could be repurposed for training the trainers, but mostly data stewardship  http://videolectures.net/clarin/",Lectures on e.g. corpus compilation,,,CLARIN,,"Overview Digital Humanities Courses at universities - Course, Bachelor or Master programme: https://registries.clarin-dariah.eu/courses/  All over the world, mostly Europe.",Many topics,,,,,,,,,,
DARIAH Campus,https://dariah-eric.github.io/dariah-campus/,Digital humanities; pilot project,Learning resources (pilot project): all kind of topics. Also RDM,Yes,"DARIAH Pathfinder
https://campus.dariah.eu/resource/dariah-pathfinder-to-data-management-best-practices-in-the-humanities

There was also a DARIAH TTT webinar: Open Humanities train the trainer webinar in collaboration with the Open Library of Humanities and FOSTER 
https://www.youtube.com/watch?v=IWs3do69Bpk&t=1763s

And there was a workshop with Foster targetting trainers: 
a workshop with FOSTER on the 21/01/2019
https://www.fosteropenscience.eu/node/2547
",,,,UCL,,augmented reality;data modeling ;  DH ; editing tools ;eHeritage ; feminism ;  ; lexicography ; literacies ; MOOC ;multimodality ; ontologies ; research infrastructures ; scholarly editions ; scholarly publishing ; sound studies ; ; speech technology ; ; XML ; XSLT ,open access ; open education ; open science ;,citizen science;,data management,data visualisation;,spatial humanities ,geotagging,TEI,,,,
DARIAH Teach,https://teach.dariah.eu/,"Digital humanities;

BETA version","An open source, multilingual, community-driven platform for high quality teaching and training materials for the digital arts and humanities.",No,,,,,,,Course: Introduction to digital humanities,Course: Text encoding and the TEI,"Course: Digital Scholarly Editions: Manuascripts, Texts and TEI Encoding",Course: Multimodal Literaries,Course: Sound studies,Course: Digitizing Dictionaries,Workshop: Spatial Image Analytics,Workshop: an introduction to Conceptual Modelling,,,,
DigiLex,https://digilex.hypotheses.org/,Linguistics ,A TEI (Text Encoding Initiatieve) XML Version of the Historical Thesaurus of English Database,No,,,,,,,,,,,,,,,,,,
Digital Humanities Resources for Project Building,http://dhresourcesforprojectbuilding.pbworks.com/w/page/69244444/Digital%20Humanities%20Examples,Digital humanities,Digital humanities Examples: Digital Humanities Resources for Project Building,No,,,,,,,"Tutorials for DH Tools and Methods: many, many topics",General or Omnibus Technical Tutorials,Code Versioning Systems (Git + Github) Tutorials (for project development),Command Line Tutorials,Content Management Systems Tutorials ,Curation Tutorials (and Guides to Citing Datasets),Data Science Tutorials,and many more,,,,
EHRI,https://ehri-project.eu/Research,Holocaust studies,Online (interactive) courses on Holocaust Studies,Yes,Two EHRI deliverables may be of interest as they present outcomes of workshops and data steward issues https://www.ehri-project.eu/ehri-deliverables (D13.3 & D13.4).,,Trustworthy Digital Repositories,report,DANS - done,https://training-inventory.acdh-dev.oeaw.ac.at/source/63,"Online course in Holocaust Studies: With this growing resource, we want to provide teachers, lecturers and students with source material and background information in order to give them an overview on recent trends in historiography. Five overarching topics have been developed for the online course. Each of these topics is used to focus on a critical analysis of sources within the context of the current state and methods of Holocaust research. ","Interactive EHRI Online Course in Holocaust Studies: consists of an introduction and six thematic units. The Online Course is aimed at the graduate level (i.e. those holding a BA-degree or higher qualification) and offers a unique opportunity for scholars from a variety of disciplines (historians, sociologists, psychologists, anthropologists and others interested in the Holocaust) as well as archivists working in fields connected with historical archival research. ",,,,,,,,,,
