id,title,description,accesspoint,license,contributors,languages,extent_count,extent_text,disciplines,topics,created,updated,source
SSK_sc_1559121592381,"Archiving Reflectance Transformation Imaging Datasets","Reflectance Transformation Imaging, a computational photography method based on the principle of raking light, has been extensively used in fields such as archaeology, museum studies, and art history to capture and enhance subtle surface details. Low-angled and multidirectional light creates texture details and enhances planar irregularities. There are two methods to capture RTI images: the Dome Method and the Highlight RTI Method. In both methods, objects are photographed with a single camera in a fixed position. The only element that changes in the process is the position of light. In the Dome method the light position is known since lights are fixed. In the highlight method the position of the light is captured by using reflective spheres that are then used by a specialised software to create the RTI image. The images stack is then computed into a polynomial texture map. In a dedicated viewer, the resulting file can be viewed under individual light positions and different rendering algorithms. This scenario focuses on the preparation of captured RTI data for archiving. The main component of an RTI dataset is photographies. Additionally some software-dependent formats will have to be considered for archiving.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_1559121592381,http://creativecommons.org/licenses/by/4.0/,1|2|3|4,English,6,steps,"Archaeology and Prehistory|Art and art history","Photography|Images|Images (3D)",2019-05-29T12:22:14Z,2019-05-29T13:09:40Z,40
SSK_sc_1559123959637,"Doing 3D reconstruction in archaeological context","3D reconstructions have a long history in archaeology and cultural heritage, although there are varying practices, data capture and processing methods, tools, and visualisations. There are not clear ways of determining the accuracy and precision of the reconstructions. Furthermore, scientifics and engagement purposes inform different dissemination practices, and therefore pose different challenges to the preservation of these outputs.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_1559123959637,http://creativecommons.org/licenses/by/4.0/,5|6,English,4,steps,"Archaeology and Prehistory|Architecture, space management|Art and art history","Scanning|Photography|Technology Preservation|Artifacts|Images (3D)",2019-05-29T12:22:14Z,2019-05-29T13:09:40Z,40
SSK_sc_corpusModellingInTEI,"Creation of a TEI-based corpus","This scenario explains the steps to take, in order to create a corpus based on the TEI tagset. As of today, the TEI guidelines have become a de facto standard for text annotation, providing solutions for a great variety of text and phrase structures, information on content types, linguistic information on words or phrases, etc. In many digital text collections and digital edition projects annotation has been based on the TEI. Linguistic corpora based on TEI may thus be re-used in projects of other disciplines as well or may themselves benefit from the wide range of already existing resources.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_corpusModellingInTEI,http://creativecommons.org/licenses/by/4.0/,7|8|9,English,10,steps,Linguistics,text,2017-10-13T08:46:27Z,2019-04-06T13:20:08Z,40
SSK_sc_creatingMetadata,"Creating Metadata","Scenario consisting of a step-by-step guide to makemetadata in a specific application profile from data structured in different manners",http://ssk.huma-num.fr/#/scenarios/SSK_sc_creatingMetadata,http://creativecommons.org/licenses/by/4.0/,10,English,8,steps,,Mapping|Metadata|Standards|Creation|Conversion,2018-02-15T15:30:05Z,2019-04-06T13:20:08Z,40
SSK_sc_dictionaryInTei,"Create a dictionary in TEI","This scenario sets out the best practices forcreating a born-digital dictionary, especially with the TEI (Text EncodingInitiative). However, buiding a standardized lexicographical dataset is not only adata format problem, it is also an intellectual and technical process where one hasto choose how to model their data, and with which tools operate in order to create aneasy-to-use and sustainable resource.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_dictionaryInTei,http://creativecommons.org/licenses/by/4.0/,11|12|13,English,5,steps,Linguistics,Encoding|TEI,2018-12-05T14:11:22Z,2019-04-06T13:20:08Z,40
SSK_sc_digitization,"Digitizing textual material","The digitization process of original objects lies at thecore of many activities in the digital humanities field. The way in which a source isdigitised, determines to a large extent what kind of information can be gathered from thisvirtual replica. While there are many complimentary processes which can enrich the the object(metadating, adding augmented layers etc.), these data will build upon the digitalfascimile.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_digitization,http://creativecommons.org/licenses/by/4.0/,14|15,English,8,steps,"Social Anthropology and ethnology|History|Philosophy and Sociology of Sciences|Library and information sciences","Scanning|Data|Image|Manuscript|Sheet Music|Text Bearing Objects",2018-02-06T14:35:12Z,2019-04-06T13:20:08Z,40
SSK_sc_DisseminationFieldSurveys,"Encode and modelize field surveys for their online dissemination","A researcher wants to preserve and to give access to field surveys and their related materials. Indeed, to provide a consistent context and make the reuse of raw data easier, the documentation has to include not only field materials but also documents about the research process steps, that’s to say the preparation of the survey (research project, funding file, etc.), the field collection (interviews, field notebooks, etc.) and the data analysis (summary sheets, drafts, etc.). This corpus can thus cover a great variety of media (paper, digital, picture, audio or video records…) and is organised according to a classification plan. It is supposed that people interested have agreed that data will be made public available (potentially with some restrictions).",http://ssk.huma-num.fr/#/scenarios/SSK_sc_DisseminationFieldSurveys,http://creativecommons.org/licenses/by/4.0/,16|17,English,9,steps,Sociology,"Encoding|Sound|Video|Research Results",2017-11-17T14:23:35Z,2019-04-06T13:27:19Z,40
SSK_sc_DTABf,"Creating interoperable TEI text resources with the DTA 'Base Format' (DTABf)","Currently, initiatives for the digitization of textual resources and their provision to the interested community are manifold and various. Hence, scholars who want to base their research on digitized texts, especially if working with popular works, may find a considerable amount of resources already digitized and ready to use. However, with these resources originating from various data providers (individual scholars, singular research projects, large infrastructures, ...) scholars usually face a great variety of digitization guidelines and formats. Gathering resources from different sources will hence almost always require their harmonization on different levels of processing. The CLARIN-D center at the Berlin-Brandenburg Academy of Sciences and Humanities provides an infrastructure for this task based on the DTA 'Base Format' (DTABf). The DTABf is a TEI-P5 format for homogeneous text annotation including set of extensive guidelines for text transcription. This scenario describes the steps to take in order to create a homogeneous, DTABf-based text corpus.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_DTABf,http://creativecommons.org/licenses/by/4.0/,18,English,7,steps,History|Linguistics|Literature,"Encoding|Preservation Metadata|Metadata|Data|Standards|Text",2018-02-21T16:28:28Z,2019-04-06T13:20:08Z,40
SSK_sc_laserconservationrestoration,"Documenting application of lasers inconservation/restoration","The standard will indicate a methodology to document thekind, extent, and objectives of the laser cleaning, the employed laser cleaning parameters andthe obtained results including cleaning quality as well as side effects or induced damage. Thestandard will contain guidelines to report the aforementioned required steps in the employ oflasers for conservation/restoration in order to allow the comparison of results with differenttreatments performed in different studies.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_laserconservationrestoration,http://creativecommons.org/licenses/by/4.0/,19|20,English,8,steps,AAH|CHM,"Technology preservation|Research results|Standards",2017-11-08T17:19:15Z,2019-04-06T13:20:08Z,40
SSK_sc_LIBS,"Standardizing ""Laser Induced Breakdown Spectrocopy""analysis of glasses","A Researcher is interested in accessing systematic worksrelated to Laser-Induced Breakdown Spectroscopy (LIBS) analysis of glass substrates and itsapplication to cultural heritage glass artefacts given the speed, absence of sampling andsample preparation, microscopic resolution and in-situ characterization proper to thetechnique.",http://ssk.huma-num.fr/#/scenarios/SSK_sc_LIBS,http://creativecommons.org/licenses/by/4.0/,21|22,English,10,steps,"Art and art history|Cultural heritage and museology","Technology preservation|Research results|Standards",2017-11-08T17:19:15Z,2019-04-06T13:20:08Z,40
