contributor_id,full_name
1,"Martina Trognitz"
2,"Emilie Saubestre"
3,"Costas Papadopoulos"
4,"Patrick McInerney"
5,"Chiara Zuanni"
6,"Vincent Baillet"
7,"Klaus Illmayer"
8,"Susanne Haaf"
9,"Piotr Bański"
10,"Antonio DavideMadonna"
11,"Karlheinz Mörth"
12,"Charles Riondet"
13,"Lionel Tadjou"
14,"Frank Uiterwaal"
15,"Reinier de Valk"
16,"Hélène Gautier"
17,"Marie Puren"
18,"Susanne Haaf"
19,"Marta Castillejo"
20,"Mikel Sanz"
21,"Marta Castillejo"
22,"Mikel Sanz"
23,"Matej Ďurčo"
24,"Tom Gheldof"
25,"Hannes Pirker"
26,"Gerlinde Schneider"
27,"Vincent Besson"
28,"Adeline Joffres"
29,"Hélène Gautier"
30,"Panayotis Siozos"
31,"Demetrios Anglos"
32,"Kostas Hatzigiannakis"
33,"Saranya Balasubramanian"
34,"Peter Catrie"
35,"Dario Kampkaspar"
36,"Tomasz Parkoła"
37,"Charles Riondet"
38,"Pavel Stranak"
39,"Daniel Schopper"
40,"Sarah Tournon-Valiente"
41,"Mehdi Chayani"
42,"Valentin Grimaud"
43,"Xavier Granier"
44,"Hélène Gautier"
45,"Adeline Joffres"
46,"Paulin Ribbe"
47,"Hélène Gautier"
48,"Adeline Joffres"
49,"Paulin Ribbe"
50,"Mehdi Chayani"
51,"Xavier Granier"
52,"Sarah Tournon-Valiente"
53,"Maurizio Sanesi"
54,"Roberta Giacomi"
55,"Emiliano Degl'Innocenti"
56,"Laura Cartechini"
57,"Sophia Sotiropoulou"
58,"Panayiotis Siozos"
59,"Demetrios Anglos"
60,"Maurizio Sanesi"
61,"Roberta Giacomi"
62,"Emiliano Degl'Innocenti"
63,"Maurizio Sanesi"
64,"Roberta Giacomi"
65,"Emiliano Degl'Innocenti"
66,"Charles Riondet"
67,"Maurizio Sanesi"
68,"Roberta Giacomi"
69,"Emiliano Degl'Innocenti"
70,"Claus Spiecker"
71,"Karolien Verbrugge"
72,"Emilie Kraikamp"
73,"Maurizio Sanesi"
74,"Roberta Giacomi"
75,"Emiliano Degl'Innocenti"
76,"Claus Spiecker"
77,"Karolien Verbrugge"
78,"Alessio Calantropio"
79,"Gabriella Carpentiero"
80,"Lorenzo Teppati Losè"
81,"Laura Cartechini"
